,First Name,Last Name,Bib,Gender Pos,Split Name,Time of Day,Distance,Hours,Minutes,Seconds,Milliseconds
84,Canyon,Woodward,1092,M8,Finish,Sat 1:54:16 PM,62.2 mi,7,54,16,000
85,Blake,Slattengren,15,M9,Start,Sat 6:00:01 AM,0.0 mi,00,00,01,310
86,Blake,Slattengren,15,M9,Antelope Mesa,Sat 6:47:28 AM,7.6 mi,00,47,28,489
87,Blake,Slattengren,15,M9,Hidden Treasure,Sat 7:19:33 AM,12.8 mi,1,19,33,618
88,Blake,Slattengren,15,M9,Bumble Bee,Sat 8:01:13 AM,19.2 mi,2,01,13,279
89,Blake,Slattengren,15,M9,Gloriana Mine,Sat 8:34:18 AM,23.8 mi,2,34,18,670
90,Blake,Slattengren,15,M9,Deep Canyon Ranch,Sat 9:41:34 AM,32.2 mi,3,41,34,739
91,Blake,Slattengren,15,M9,Black Canyon City,Sat 10:26:33 AM,37.7 mi,4,26,33,218
92,Blake,Slattengren,15,M9,Cottonwood Gulch,Sat 11:43:31 AM,45.3 mi,5,43,31,289
93,Blake,Slattengren,15,M9,Table Mesa,Sat 12:24:03 PM,49.4 mi,6,24,03,889
94,Blake,Slattengren,15,M9,Doe Spring,Sat 1:33:00 PM,57.5 mi,7,33,00,000
95,Blake,Slattengren,15,M9,Finish,Sat 1:54:18 PM,62.2 mi,7,54,18,109
96,Ferdinand,Airault,109,M10,Start,Sat 5:56:26 AM,0.0 mi,00,00,00,000
97,Ferdinand,Airault,109,M10,Antelope Mesa,Sat 6:50:29 AM,7.6 mi,00,50,29,199
98,Ferdinand,Airault,109,M10,Hidden Treasure,Sat 7:25:38 AM,12.8 mi,1,25,38,710
99,Ferdinand,Airault,109,M10,Bumble Bee,Sat 8:13:50 AM,19.2 mi,2,13,50,929
100,Ferdinand,Airault,109,M10,Gloriana Mine,Sat 8:49:19 AM,23.8 mi,2,49,19,889
101,Ferdinand,Airault,109,M10,Deep Canyon Ranch,Sat 9:57:30 AM,32.2 mi,3,57,30,519
102,Ferdinand,Airault,109,M10,Black Canyon City,Sat 10:41:57 AM,37.7 mi,4,41,57,438
103,Ferdinand,Airault,109,M10,Cottonwood Gulch,Sat 11:53:45 AM,45.3 mi,5,53,45,438
104,Ferdinand,Airault,109,M10,Table Mesa,Sat 12:30:24 PM,49.4 mi,6,30,24,979
105,Ferdinand,Airault,109,M10,Doe Spring,Sat 1:33:01 PM,57.5 mi,7,33,01,000
106,Ferdinand,Airault,109,M10,Finish,Sat 1:54:27 PM,62.2 mi,7,54,27,949
107,Zach,Perrin,798,M11,Start,Sat 6:00:02 AM,0.0 mi,00,00,02,450
108,Zach,Perrin,798,M11,Antelope Mesa,Sat 6:47:33 AM,7.6 mi,00,47,33,509
109,Zach,Perrin,798,M11,Hidden Treasure,Sat 7:20:21 AM,12.8 mi,1,20,21,628
110,Zach,Perrin,798,M11,Bumble Bee,Sat 8:03:15 AM,19.2 mi,2,03,15,429
111,Zach,Perrin,798,M11,Gloriana Mine,Sat 8:35:19 AM,23.8 mi,2,35,19,679
112,Zach,Perrin,798,M11,Deep Canyon Ranch,Sat 9:36:57 AM,32.2 mi,3,36,57,000
113,Zach,Perrin,798,M11,Black Canyon City,Sat 10:21:51 AM,37.7 mi,4,21,51,408
114,Zach,Perrin,798,M11,Cottonwood Gulch,Sat 11:36:30 AM,45.3 mi,5,36,30,189
115,Zach,Perrin,798,M11,Table Mesa,Sat 12:12:25 PM,49.4 mi,6,12,25,719
116,Zach,Perrin,798,M11,Finish,Sat 1:55:48 PM,62.2 mi,7,55,48,408
117,Tyler,Fox,367,M12,Start,Sat 6:00:02 AM,0.0 mi,00,00,02,479
118,Tyler,Fox,367,M12,Antelope Mesa,Sat 6:47:34 AM,7.6 mi,00,47,34,509
119,Tyler,Fox,367,M12,Hidden Treasure,Sat 7:20:10 AM,12.8 mi,1,20,10,630
120,Tyler,Fox,367,M12,Bumble Bee,Sat 8:03:10 AM,19.2 mi,2,03,10,788
121,Tyler,Fox,367,M12,Gloriana Mine,Sat 8:35:52 AM,23.8 mi,2,35,52,689
122,Tyler,Fox,367,M12,Deep Canyon Ranch,Sat 9:38:39 AM,32.2 mi,3,38,39,739
123,Tyler,Fox,367,M12,Black Canyon City,Sat 10:23:35 AM,37.7 mi,4,23,35,170
124,Tyler,Fox,367,M12,Cottonwood Gulch,Sat 11:40:02 AM,45.3 mi,5,40,02,240
125,Tyler,Fox,367,M12,Table Mesa,Sat 12:19:59 PM,49.4 mi,6,19,59,829
126,Tyler,Fox,367,M12,Finish,Sat 2:09:43 PM,62.2 mi,8,09,43,539
127,Cole,Campbell,217,M13,Start,Sat 5:59:51 AM,0.0 mi,00,00,00,000
128,Cole,Campbell,217,M13,Antelope Mesa,Sat 6:47:36 AM,7.6 mi,00,47,36,519
129,Cole,Campbell,217,M13,Hidden Treasure,Sat 7:22:08 AM,12.8 mi,1,22,08,659
130,Cole,Campbell,217,M13,Bumble Bee,Sat 8:09:03 AM,19.2 mi,2,09,03,520
131,Cole,Campbell,217,M13,Gloriana Mine,Sat 8:43:26 AM,23.8 mi,2,43,26,799
132,Cole,Campbell,217,M13,Deep Canyon Ranch,Sat 9:49:10 AM,32.2 mi,3,49,10,199
133,Cole,Campbell,217,M13,Black Canyon City,Sat 10:34:13 AM,37.7 mi,4,34,13,330
134,Cole,Campbell,217,M13,Cottonwood Gulch,Sat 11:50:06 AM,45.3 mi,5,50,06,388
135,Cole,Campbell,217,M13,Table Mesa,Sat 12:29:47 PM,49.4 mi,6,29,47,969
136,Cole,Campbell,217,M13,Doe Spring,Sat 1:44:00 PM,57.5 mi,7,44,00,000
137,Cole,Campbell,217,M13,Finish,Sat 2:10:35 PM,62.2 mi,8,10,35,029
138,Darren,Thomas,996,M14,Start,Sat 6:00:02 AM,0.0 mi,00,00,02,069
139,Darren,Thomas,996,M14,Antelope Mesa,Sat 6:47:36 AM,7.6 mi,00,47,36,519
140,Darren,Thomas,996,M14,Hidden Treasure,Sat 7:20:03 AM,12.8 mi,1,20,03,628
141,Darren,Thomas,996,M14,Bumble Bee,Sat 8:01:41 AM,19.2 mi,2,01,41,288
